Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
12/2/2019,,,,31871.45,,
12/3/2019,,,,31613.35,,
12/4/2019,,,,31000,,
12/5/2019,,,,31000,,
12/6/2019,,,,31000,,
12/9/2019,,,,31000,,
12/10/2019,,,,31000,,
12/11/2019,,,,31000,,
12/12/2019,,,,31000,,
12/13/2019,,,,31000,,
12/16/2019,,,,31000,,
11/19/2012,,,,31000,,
11/20/2012,,,,31000,,
11/21/2012,,,,31000,,
11/22/2012,,,,31000,,
11/23/2012,,,,31000,,
11/26/2012,,,,31000,,
11/27/2012,,,,31000,,
11/27/2012,,,,31000,,
11/27/2012,,,,31000,,
11/27/2012,,,,31000,,
11/27/2012,,,,31000,,
